"title","categoryName","address","neighborhood","street","city","postalCode","state","countryCode","website","phone","phoneUnformatted","location/lat","location/lng"
"Mott's Famous Fried Chicken & Deli","Restaurant","2017 Mott Ave, Far Rockaway, NY 11691","Far Rockaway","2017 Mott Ave","Far Rockaway","11691","New York","US",,"(718) 337-7488","+17183377488","40.6043881","-73.7534249"
"Portillos Deli 2","Salvadoran restaurant","709 Beach 20th St, Far Rockaway, NY 11691","Far Rockaway","709 Beach 20th St","Far Rockaway","11691","New York","US",,"(347) 752-9910","+13477529910","40.6019522","-73.7535707"
"McDonald's","Fast food restaurant","2141 Mott Ave, Far Rockaway, NY 11691","Far Rockaway","2141 Mott Ave","Far Rockaway","11691","New York","US","https://www.mcdonalds.com/us/en-us/location/NY/FAR-ROCKAWAY/2141-MOTT-AVE/2646.html?cid=RF:YXT:GMB::Clicks","(718) 868-2289","+17188682289","40.6050836","-73.7551126"
"Taco Bell","Fast food restaurant","13-5 Beach Channel Dr, Far Rockaway, NY 11691","Far Rockaway","13-5 Beach Channel Dr","Far Rockaway","11691","New York","US","https://locations.tacobell.com/ny/far-rockaway/13-5-beach-channel-drive.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=035457&utm_content=website&y_source=1_MTM0MjIzOTEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","(347) 619-8585","+13476198585","40.6055812","-73.7554791"
"Grand Oasis","Bar & grill","1611 Central Ave, Far Rockaway, NY 11691","Far Rockaway","1611 Central Ave","Far Rockaway","11691","New York","US",,"(929) 435-2696","+19294352696","40.6049324","-73.7520608"
"J&M Pizza","Pizza restaurant","263 Beach 20th St, Far Rockaway, NY 11691","Far Rockaway","263 Beach 20th St","Far Rockaway","11691","New York","US","https://www.jmpizza.com/?utm_source=gbp","(718) 337-5783","+17183375783","40.5968553","-73.755104"
"allissgeovadeli","Restaurant","709 Beach 20th St, Far Rockaway, NY 11691","Far Rockaway","709 Beach 20th St","Far Rockaway","11691","New York","US",,"(347) 230-4551","+13472304551","40.6019522","-73.7535707"
"Domino's Pizza","Pizza delivery","524 Beach 20th St, Far Rockaway, NY 11691","Far Rockaway","524 Beach 20th St","Far Rockaway","11691","New York","US","https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmaps","(718) 337-7100","+17183377100","40.6001358","-73.7536283"
"Subway","Sandwich shop","18-07 Mott Ave, Far Rockaway, NY 11691","Far Rockaway","18-07 Mott Ave","Far Rockaway","11691","New York","US","https://restaurants.subway.com/united-states/ny/far-rockaway/18-07-mott-ave?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=49587&utm_campaign=evergreen-2020&y_source=1_MTQ4OTY4MTEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","(718) 868-1300","+17188681300","40.6026641","-73.7502499"
"Frank And Danny's","Pizza restaurant","4369 Amboy Rd, Staten Island, NY 10312","Eltingville","4369 Amboy Rd","Staten Island","10312","New York","US","http://frankanddannys.com/","(718) 317-1100","+17183171100","40.5455581","-74.1616662"
"East Sushi","Sushi restaurant","4371 Amboy Rd, Staten Island, NY 10312","Eltingville","4371 Amboy Rd","Staten Island","10312","New York","US","http://www.eastsushiamboy.com/","(718) 966-8888","+17189668888","40.545468","-74.161814"
"Playa Bowls","Health food restaurant","1275 Woodrow Rd, Staten Island, NY 10309","Rossville","1275 Woodrow Rd","Staten Island","10309","New York","US","https://www.playabowls.com/location/staten-island","(718) 608-9090","+17186089090","40.5421456","-74.2074313"
"Ciro Pizza Cafe","Pizza restaurant","862 Huguenot Ave, Staten Island, NY 10312","Prince's Bay","862 Huguenot Ave","Staten Island","10312","New York","US","http://www.ciropizzacafes.com/","(718) 605-0620","+17186050620","40.533306","-74.1927722"
"Empire Szechuan","Chinese restaurant","4373 Amboy Rd, Staten Island, NY 10312","Eltingville","4373 Amboy Rd","Staten Island","10312","New York","US","http://empireamboy.com/","(718) 227-2888","+17182272888","40.5454465","-74.1619112"
"Ambrosino's","Pizza restaurant","240 Arden Ave, Staten Island, NY 10312","Rossville","240 Arden Ave","Staten Island","10312","New York","US","https://ambrosinosarden.com/","(718) 554-4992","+17185544992","40.5535829","-74.1931096"
"Happy Fortune Chinese Restaurant","Chinese restaurant","1022 Rossville Ave, Staten Island, NY 10309","Rossville","1022 Rossville Ave","Staten Island","10309","New York","US",,"(718) 984-1166","+17189841166","40.5516321","-74.2126786"
"Piezanos Best Pizza","Pizza restaurant","896 Huguenot Ave Suite 1, Staten Island, NY 10312","Prince's Bay","896 Huguenot Ave Suite 1","Staten Island","10312","New York","US","https://www.piezanosbestpizza.com/","(718) 554-4439","+17185544439","40.532565","-74.1922744"
"Genki Sushi","Sushi restaurant","262 Arden Ave, Staten Island, NY 10312","Rossville","262 Arden Ave","Staten Island","10312","New York","US","http://genkistatenisland.com/","(718) 227-7375","+17182277375","40.5527452","-74.1933304"
"Panino Rustico of Huguenot Express","Sandwich shop","895 Huguenot Ave, Staten Island, NY 10312","Woodrow","895 Huguenot Ave","Staten Island","10312","New York","US","https://paninorusticosi.com/","(718) 605-6464","+17186056464","40.5327181","-74.1917413"
"QDOBA Mexican Eats","Mexican restaurant","1275 Woodrow Rd, Staten Island, NY 10309","Rossville","1275 Woodrow Rd","Staten Island","10309","New York","US","https://locations.qdoba.com/us/ny/staten-island/1275-woodrow-rd?utm_medium=organic&utm_source=google&utm_campaign=1279_2024_all_seo_google_maps_local&utm_content=website&utm_term=2989","(718) 966-1353","+17189661353","40.5419437","-74.2076523"
"O'Sfizio Ristorante","Italian restaurant","4651 Hylan Blvd, Staten Island, NY 10312","Southeast Annadale","4651 Hylan Blvd","Staten Island","10312","New York","US","http://osfizio.com/","(718) 227-3000","+17182273000","40.5294873","-74.1616851"
"La Fontana Sorellena","Italian restaurant","885 Annadale Rd, Staten Island, NY 10312","Annadale","885 Annadale Rd","Staten Island","10312","New York","US","https://www.sorellenasi.com/","(718) 683-5353","+17186835353","40.540069","-74.1768107"
"Wingstop","Chicken wings restaurant","655 Rossville Ave Unit 203 Unit 203, Staten Island, NY 10309","Rossville","655 Rossville Ave Unit 203 Unit 203","Staten Island","10309","New York","US","https://www.wingstop.com/location/wingstop-staten-island-rossville-ave-3/menu?y_source=1_MTA4MDY5MzA5Mi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","(718) 400-9464","+17184009464","40.5427994","-74.2062848"
"Il Sogno Ristorante Italiano","Italian restaurant","26 Jefferson Blvd, Staten Island, NY 10312","Woodrow","26 Jefferson Blvd","Staten Island","10312","New York","US","http://ilsognonyc.com/","(718) 356-7800","+17183567800","40.5413224","-74.1784592"
"EatItalian NYC","Italian restaurant","655 Rossville Ave, Staten Island, NY 10309","Rossville","655 Rossville Ave","Staten Island","10309","New York","US","https://www.eatitaliannyc.com/","(718) 966-4186","+17189664186","40.5429849","-74.2071999"
"Wendy's","Fast food restaurant","25 Putnam St, Staten Island, NY 10312","Eltingville","25 Putnam St","Staten Island","10312","New York","US","https://locations.wendys.com/united-states/ny/staten-island/25-putnam-street?utm_source=Yext&utm_medium=Google_My_Business&utm_campaign=Local_Search&utm_content=EN_US","(718) 524-7817","+17185247817","40.5440883","-74.1633741"
"Island Smoothies","Restaurant","3870 Richmond Ave, Staten Island, NY 10312","Annadale","3870 Richmond Ave","Staten Island","10312","New York","US","http://islandsmoothies.social/","(718) 356-9503","+17183569503","40.5435793","-74.1649729"
"Baya Bar Richmond Ave","Restaurant","3830 Richmond Ave Suite B, Staten Island, NY 10312","Arden Heights","3830 Richmond Ave Suite B","Staten Island","10312","New York","US","http://thebayabar.com/","(718) 233-6301","+17182336301","40.5447817","-74.1658789"
"Halal Chicken Gyro","Gyro restaurant","3874 Richmond Ave, Staten Island, NY 10312","Annadale","3874 Richmond Ave","Staten Island","10312","New York","US",,,,"40.5435347","-74.164709"
"Bocaditos LLC","Restaurant","1823 Mott Ave, Far Rockaway, NY 11691","Far Rockaway","1823 Mott Ave","Far Rockaway","11691","New York","US",,"(718) 502-0072","+17185020072","40.6028803","-73.750537"
"New Cheung Chow","Chinese restaurant","2011 New Haven Ave, Far Rockaway, NY 11691","Far Rockaway","2011 New Haven Ave","Far Rockaway","11691","New York","US","https://www.facebook.com/pages/New-Cheung-Chow-Chinese-Restaurant/111561905551410","(718) 471-7795","+17184717795","40.6006196","-73.7542231"
"Bravo Stores","Chicken shop","1057 Beach 20th St, Far Rockaway, NY 11691","Far Rockaway","1057 Beach 20th St","Far Rockaway","11691","New York","US",,"(718) 327-0700","+17183270700","40.6039428","-73.7531967"
"Community Coffee Shop","Restaurant","21-23 Mott Ave, Far Rockaway, NY 11691","Far Rockaway","21-23 Mott Ave","Far Rockaway","11691","New York","US",,"(718) 327-9724","+17183279724","40.6047881","-73.7545705"
"🍛Roots Island🥘Jamaican BBQ🍖","Barbecue restaurant","Beach Channel Dr, Far Rockaway, NY 11691","Far Rockaway","Beach Channel Dr","Far Rockaway","11691","New York","US",,"(646) 932-7937","+16469327937","40.5987265","-73.7662622"
"Numial Inc","Chicken restaurant","717 Beach 20th St, Far Rockaway, NY 11691","Far Rockaway","717 Beach 20th St","Far Rockaway","11691","New York","US",,"(718) 337-2312","+17183372312","40.6021","-73.753524"
"Subway","Sandwich shop","233 Beach 20th St, Far Rockaway, NY 11691","Far Rockaway","233 Beach 20th St","Far Rockaway","11691","New York","US","https://order.subway.com/en-us/restaurant/16014/menu/?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=16014&utm_campaign=evergreen-2020","(347) 246-7111","+13472467111","40.5964437","-73.7544535"
"Dunkin'","Coffee shop","239 Beach 20th St, Far Rockaway, NY 11691","Far Rockaway","239 Beach 20th St","Far Rockaway","11691","New York","US","https://locations.dunkindonuts.com/en/ny/far-rockaway/239-beach-20th-st/339842?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=339842&y_source=1_MTIxMDg3NDItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","(718) 868-0448","+17188680448","40.5964299","-73.7547008"
"Bayswater Park Barbecuing Areas","Barbecue area","701 Bay 32 St, Queens, NY 11691","Bayswater","701 Bay 32 St","Queens","11691","New York","US","https://www.nycgovparks.org/parks/bayswater-park/facilities/barbecue","(212) 639-9675","+12126399675","40.5986873","-73.7667219"
"De nahiohy eventos y Mas","Dominican restaurant","2949 Far Rockaway Blvd, Far Rockaway, NY 11691","Far Rockaway","2949 Far Rockaway Blvd","Far Rockaway","11691","New York","US",,"(929) 373-2992","+19293732992","40.5980025","-73.7647472"
"Dunkin'","Coffee shop","2120 Mott Ave, Far Rockaway, NY 11691","Far Rockaway","2120 Mott Ave","Far Rockaway","11691","New York","US","https://locations.dunkindonuts.com/en/ny/far-rockaway/2120-mott-avenue/364469?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=364469&y_source=1_MTAyNDQ1MTI3NS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","(475) 328-2288","+14753282288","40.6052266","-73.7538528"
"ROTI KINGDOM LLC","Restaurant","25-11 Seagirt Ave, Far Rockaway, NY 11691","Far Rockaway","25-11 Seagirt Ave","Far Rockaway","11691","New York","US",,"(917) 515-9864","+19175159864","40.5949728","-73.7589442"
"Genesis G deli","Restaurant","709 Beach 20th St, Far Rockaway, NY 11691","Far Rockaway","709 Beach 20th St","Far Rockaway","11691","New York","US",,"(347) 752-9910","+13477529910","40.6019522","-73.7535707"
